Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Other,Year
1,Karl Malone,35,UTA,44.0,827.0,1180,0.701,49,37.4,23.8,9.4,4.1,1.3,0.6,.493,.000,.788,9.6,.252,malonka01,1999
2,Alonzo Mourning,28,MIA,36.0,773.0,1180,0.655,46,38.1,20.1,11.0,1.6,0.7,3.9,.511,.000,.652,7.9,.216,mournal01,1999
3,Tim Duncan,22,SAS,30.0,740.0,1180,0.627,50,39.3,21.7,11.4,2.4,0.9,2.5,.495,.143,.690,8.7,.213,duncati01,1999
4,Allen Iverson,23,PHI,5.0,319.0,1180,0.270,48,41.5,26.8,4.9,4.6,2.3,0.1,.412,.291,.751,7.2,.173,iversal01,1999
5,Jason Kidd,25,PHO,2.0,159.0,1180,0.135,50,41.2,16.9,6.8,10.8,2.3,0.4,.444,.366,.757,8.1,.188,kiddja01,1999
6,Shaquille O'Neal,26,LAL,1.0,89.0,1180,0.075,49,34.8,26.3,10.7,2.3,0.7,1.7,.576,.000,.540,9.0,.255,onealsh01,1999
7,Chris Webber,25,SAC,0.0,51.0,1180,0.043,42,40.9,20.0,13.0,4.1,1.4,2.1,.486,.118,.454,3.6,.102,webbech01,1999
8,Grant Hill,26,DET,0.0,39.0,1180,0.033,50,37.0,21.1,7.1,6.0,1.6,0.5,.479,.000,.752,7.3,.189,hillgr01,1999
9,Gary Payton,30,SEA,0.0,35.0,1180,0.030,50,40.2,21.7,4.9,8.7,2.2,0.2,.434,.295,.721,7.2,.172,paytoga01,1999
10,Kevin Garnett,22,MIN,0.0,9.0,1180,0.008,47,37.9,20.8,10.4,4.3,1.7,1.8,.460,.286,.704,5.4,.146,garneke01,1999
11,Shawn Kemp,29,CLE,0.0,7.0,1180,0.006,42,35.1,20.5,9.2,2.4,1.1,1.1,.482,.500,.789,6.3,.205,kempsh01,1999
12,David Robinson,33,SAS,0.0,6.0,1180,0.005,49,31.7,15.8,10.0,2.1,1.4,2.4,.509,.000,.658,8.4,.261,robinda01,1999
13T,Hakeem Olajuwon,36,HOU,0.0,3.0,1180,0.003,50,35.7,18.9,9.6,1.8,1.6,2.5,.514,.308,.717,6.5,.175,olajuha01,1999
13T,Arvydas Sabonis,34,POR,0.0,3.0,1180,0.003,50,27.0,12.1,7.9,2.4,0.7,1.3,.485,.292,.771,5.8,.207,sabonar01,1999
15,Darrell Armstrong,30,ORL,0.0,2.0,1180,0.002,50,30.0,13.8,3.6,6.7,2.2,0.1,.441,.365,.904,6.4,.205,armstda01,1999
16T,Vince Carter,22,TOR,0.0,1.0,1180,0.001,50,35.2,18.3,5.7,3.0,1.1,1.5,.450,.288,.761,5.0,.136,cartevi01,1999
16T,Anfernee Hardaway,27,ORL,0.0,1.0,1180,0.001,50,38.9,15.8,5.7,5.3,2.2,0.5,.420,.286,.706,5.0,.122,hardaan01,1999
16T,Mark Jackson,33,IND,0.0,1.0,1180,0.001,49,28.2,7.6,3.8,7.9,0.9,0.1,.419,.311,.823,3.8,.134,jacksma01,1999
16T,Glenn Robinson,26,MIL,0.0,1.0,1180,0.001,47,33.6,18.4,5.9,2.1,1.0,0.9,.459,.392,.870,4.0,.122,robingl01,1999
16T,Steve Smith,29,ATL,0.0,1.0,1180,0.001,36,36.5,18.7,4.2,3.3,1.0,0.3,.402,.338,.849,4.4,.162,smithst01,1999
16T,Rasheed Wallace,24,POR,0.0,1.0,1180,0.001,49,28.9,12.8,4.9,1.2,1.0,1.1,.508,.419,.732,5.0,.169,wallara01,1999
1,Shaquille O'Neal,27,LAL,120.0,1207.0,1210,0.998,79,40.0,29.7,13.6,3.8,0.5,3.0,.574,.000,.524,18.6,.283,onealsh01,2000
2,Kevin Garnett,23,MIN,0.0,408.0,1210,0.337,81,40.0,22.9,11.8,5.0,1.5,1.6,.497,.370,.765,11.6,.172,garneke01,2000
3,Alonzo Mourning,29,MIA,0.0,367.0,1210,0.303,79,34.8,21.7,9.5,1.6,0.5,3.7,.551,.000,.711,12.9,.226,mournal01,2000
4,Karl Malone,36,UTA,0.0,312.0,1210,0.258,82,35.9,25.5,9.5,3.7,1.0,0.9,.509,.250,.797,15.3,.249,malonka01,2000
5,Tim Duncan,23,SAS,0.0,248.0,1210,0.205,74,38.9,23.2,12.4,3.2,0.9,2.2,.490,.091,.761,13.0,.218,duncati01,2000
6,Gary Payton,31,SEA,0.0,180.0,1210,0.149,82,41.8,24.2,6.5,8.9,1.9,0.2,.448,.340,.735,13.9,.195,paytoga01,2000
7,Allen Iverson,24,PHI,1.0,132.0,1210,0.109,70,40.8,28.4,3.8,4.7,2.1,0.1,.421,.341,.713,6.9,.116,iversal01,2000
8,Grant Hill,27,DET,0.0,113.0,1210,0.093,74,37.5,25.8,6.6,5.2,1.4,0.6,.489,.347,.795,10.7,.185,hillgr01,2000
9,Chris Webber,26,SAC,0.0,96.0,1210,0.079,75,38.4,24.5,10.5,4.6,1.6,1.7,.483,.284,.751,10.7,.179,webbech01,2000
10,Vince Carter,23,TOR,0.0,51.0,1210,0.042,82,38.1,25.7,5.8,3.9,1.3,1.1,.465,.403,.791,11.8,.182,cartevi01,2000
11,Jason Kidd,26,PHO,0.0,25.0,1210,0.021,67,39.0,14.3,7.2,10.1,2.0,0.4,.409,.337,.829,8.5,.156,kiddja01,2000
12,Kobe Bryant,21,LAL,0.0,3.0,1210,0.002,66,38.2,22.5,6.3,4.9,1.6,0.9,.468,.319,.821,10.6,.202,bryanko01,2000
13T,Darrell Armstrong,31,ORL,0.0,1.0,1210,0.001,82,31.6,16.2,3.3,6.1,2.1,0.1,.433,.340,.911,8.0,.149,armstda01,2000
13T,Michael Finley,26,DAL,0.0,1.0,1210,0.001,82,42.2,22.6,6.3,5.3,1.3,0.4,.457,.401,.820,8.3,.114,finlemi01,2000
13T,Reggie Miller,34,IND,0.0,1.0,1210,0.001,81,36.9,18.1,3.0,2.3,1.0,0.3,.448,.408,.919,10.1,.162,millere01,2000
13T,Jalen Rose,27,IND,0.0,1.0,1210,0.001,80,37.2,18.2,4.8,4.0,1.1,0.6,.471,.393,.827,7.3,.118,roseja01,2000
1,Allen Iverson,25,PHI,93.0,1121.0,1240,0.904,71,42.0,31.1,3.8,4.6,2.5,0.3,.420,.320,.814,11.8,.190,iversal01,2001
2,Tim Duncan,24,SAS,18.0,706.0,1240,0.569,82,38.7,22.2,12.2,3.0,0.9,2.3,.499,.259,.618,13.2,.200,duncati01,2001
3,Shaquille O'Neal,28,LAL,7.0,578.0,1240,0.466,74,39.5,28.7,12.7,3.7,0.6,2.8,.572,.000,.513,14.9,.245,onealsh01,2001
4,Chris Webber,27,SAC,5.0,521.0,1240,0.420,70,40.5,27.1,11.1,4.2,1.3,1.7,.481,.071,.703,11.0,.186,webbech01,2001
5,Kevin Garnett,24,MIN,1.0,151.0,1240,0.122,81,39.5,22.0,11.4,5.0,1.4,1.8,.477,.288,.764,11.8,.176,garneke01,2001
6,Tracy McGrady,21,ORL,0.0,64.0,1240,0.052,77,40.1,26.8,7.5,4.6,1.5,1.5,.457,.355,.733,12.2,.189,mcgratr01,2001
7,Karl Malone,37,UTA,0.0,21.0,1240,0.017,81,35.7,23.2,8.3,4.5,1.1,0.8,.498,.400,.793,13.1,.217,malonka01,2001
8,Jason Kidd,27,PHO,0.0,18.0,1240,0.015,77,39.8,16.9,6.4,9.8,2.2,0.3,.411,.297,.814,9.6,.150,kiddja01,2001
9,Kobe Bryant,22,LAL,0.0,11.0,1240,0.009,68,40.9,28.5,5.9,5.0,1.7,0.6,.464,.305,.853,11.3,.196,bryanko01,2001
10,David Robinson,35,SAS,0.0,8.0,1240,0.006,80,29.6,14.4,8.6,1.5,1.0,2.5,.486,.000,.747,12.1,.246,robinda01,2001
11T,Ray Allen,25,MIL,0.0,7.0,1240,0.006,82,38.2,22.0,5.2,4.6,1.5,0.2,.480,.433,.888,13.7,.211,allenra02,2001
11T,Vince Carter,24,TOR,0.0,7.0,1240,0.006,75,39.7,27.6,5.5,3.9,1.5,1.1,.460,.408,.765,12.9,.208,cartevi01,2001
13,Paul Pierce,23,BOS,0.0,5.0,1240,0.004,82,38.0,25.3,6.4,3.1,1.7,0.8,.454,.383,.745,10.4,.160,piercpa01,2001
14,Jerry Stackhouse,26,DET,0.0,3.0,1240,0.002,80,40.2,29.8,3.9,5.1,1.2,0.7,.402,.351,.822,9.2,.137,stackje01,2001
15T,Michael Finley,27,DAL,0.0,1.0,1240,0.001,82,42.0,21.5,5.2,4.4,1.4,0.4,.458,.346,.775,8.5,.119,finlemi01,2001
15T,Anthony Mason,34,MIA,0.0,1.0,1240,0.001,80,40.7,16.1,9.6,3.1,1.0,0.3,.482,,.781,11.6,.171,masonan01,2001
15T,John Stockton,38,UTA,0.0,1.0,1240,0.001,82,29.2,11.5,2.8,8.7,1.6,0.3,.504,.462,.817,10.8,.216,stockjo01,2001
1,Tim Duncan,25,SAS,57.0,954.0,1260,0.757,82,40.6,25.5,12.7,3.7,0.7,2.5,.508,.100,.799,17.8,.257,duncati01,2002
2,Jason Kidd,28,NJN,45.0,897.0,1260,0.712,82,37.3,14.7,7.3,9.9,2.1,0.2,.391,.321,.814,8.9,.140,kiddja01,2002
3,Shaquille O'Neal,29,LAL,15.0,696.0,1260,0.552,67,36.1,27.2,10.7,3.0,0.6,2.0,.579,.000,.555,13.2,.262,onealsh01,2002
4,Tracy McGrady,22,ORL,7.0,390.0,1260,0.310,76,38.3,25.6,7.9,5.3,1.6,1.0,.451,.364,.748,11.5,.189,mcgratr01,2002
5,Kobe Bryant,23,LAL,1.0,98.0,1260,0.078,80,38.3,25.2,5.5,5.5,1.5,0.4,.469,.250,.829,12.7,.199,bryanko01,2002
6,Gary Payton,33,SEA,1.0,54.0,1260,0.043,82,40.3,22.1,4.8,9.0,1.6,0.3,.467,.314,.797,12.6,.183,paytoga01,2002
7,Chris Webber,28,SAC,0.0,37.0,1260,0.029,54,38.4,24.5,10.1,4.8,1.7,1.4,.495,.263,.749,8.6,.200,webbech01,2002
8,Dirk Nowitzki,23,DAL,0.0,31.0,1260,0.025,76,38.0,23.4,9.9,2.4,1.1,1.0,.477,.397,.853,13.4,.222,nowitdi01,2002
9,Allen Iverson,26,PHI,0.0,29.0,1260,0.023,60,43.7,31.4,4.5,5.5,2.8,0.2,.398,.291,.812,6.9,.126,iversal01,2002
10,Ben Wallace,27,DET,0.0,24.0,1260,0.019,80,36.5,7.6,13.0,1.4,1.7,3.5,.531,.000,.423,11.6,.190,wallabe01,2002
11,Paul Pierce,24,BOS,0.0,22.0,1260,0.017,82,40.3,26.1,6.9,3.2,1.9,1.0,.442,.404,.809,12.9,.187,piercpa01,2002
12,Kevin Garnett,25,MIN,0.0,17.0,1260,0.013,81,39.2,21.2,12.1,5.2,1.2,1.6,.470,.319,.801,12.8,.194,garneke01,2002
13,Michael Jordan,38,WAS,0.0,16.0,1260,0.013,60,34.9,22.9,5.7,5.2,1.4,0.4,.416,.189,.790,3.3,.075,jordami01,2002
14,Steve Nash,27,DAL,0.0,5.0,1260,0.004,82,34.6,17.9,3.1,7.7,0.6,0.0,.483,.455,.887,9.9,.167,nashst01,2002
15,Jerry Stackhouse,27,DET,0.0,3.0,1260,0.002,76,35.3,21.4,4.1,5.3,1.0,0.5,.397,.287,.858,5.8,.104,stackje01,2002
16T,Mike Bibby,23,SAC,0.0,1.0,1260,0.001,80,33.2,13.7,2.8,5.0,1.1,0.2,.453,.370,.803,6.3,.113,bibbymi01,2002
16T,Elton Brand,22,LAC,0.0,1.0,1260,0.001,80,37.8,18.2,11.6,2.4,1.0,2.0,.527,,.742,13.6,.216,brandel01,2002
16T,Peja Stojaković,24,SAC,0.0,1.0,1260,0.001,71,37.3,21.2,5.3,2.5,1.1,0.2,.484,.416,.876,9.9,.179,stojape01,2002
1,Tim Duncan,26,SAS,60.0,962.0,1190,0.808,81,39.3,23.3,12.9,3.9,0.7,2.9,.513,.273,.710,16.5,.248,duncati01,2003
2,Kevin Garnett,26,MIN,43.0,871.0,1190,0.732,82,40.5,23.0,13.4,6.0,1.4,1.6,.502,.282,.751,15.6,.225,garneke01,2003
3,Kobe Bryant,24,LAL,8.0,496.0,1190,0.417,82,41.5,30.0,6.9,5.9,2.2,0.8,.451,.383,.843,14.9,.210,bryanko01,2003
4,Tracy McGrady,23,ORL,4.0,427.0,1190,0.359,75,39.4,32.1,6.5,5.5,1.7,0.8,.457,.386,.793,16.1,.262,mcgratr01,2003
5,Shaquille O'Neal,30,LAL,3.0,126.0,1190,0.106,67,37.8,27.5,11.1,3.1,0.6,2.4,.574,,.622,13.2,.250,onealsh01,2003
6,Allen Iverson,27,PHI,0.0,83.0,1190,0.070,82,42.5,27.6,4.2,5.5,2.7,0.2,.414,.277,.774,9.2,.127,iversal01,2003
7,Dirk Nowitzki,24,DAL,0.0,43.0,1190,0.036,80,39.0,25.1,9.9,3.0,1.4,1.0,.463,.379,.881,16.1,.249,nowitdi01,2003
8,Ben Wallace,28,DET,1.0,33.0,1190,0.028,73,39.4,6.9,15.4,1.6,1.4,3.2,.481,.167,.450,10.6,.176,wallabe01,2003
9,Jason Kidd,29,NJN,0.0,31.0,1190,0.026,80,37.4,18.7,6.3,8.9,2.2,0.3,.414,.341,.841,11.3,.182,kiddja01,2003
10,Chris Webber,29,SAC,0.0,19.0,1190,0.016,67,39.1,23.0,10.5,5.4,1.6,1.3,.461,.238,.607,6.9,.127,webbech01,2003
11T,Jamal Mashburn,30,NOH,0.0,1.0,1190,0.001,82,40.5,21.6,6.1,5.6,1.0,0.2,.422,.389,.848,9.0,.130,mashbja01,2003
11T,Steve Nash,28,DAL,0.0,1.0,1190,0.001,82,33.1,17.7,2.9,7.3,1.0,0.1,.465,.413,.909,11.6,.206,nashst01,2003
11T,Paul Pierce,25,BOS,0.0,1.0,1190,0.001,79,39.2,25.9,7.3,4.4,1.8,0.8,.416,.302,.802,10.1,.157,piercpa01,2003
1,Kevin Garnett,27,MIN,120.0,1219.0,1230,0.991,82,39.4,24.2,13.9,5.0,1.5,2.2,.499,.256,.791,18.3,.272,garneke01,2004
2,Tim Duncan,27,SAS,0.0,716.0,1230,0.582,69,36.6,22.3,12.4,3.1,0.9,2.7,.501,.167,.599,13.1,.249,duncati01,2004
3,Jermaine O'Neal,25,IND,2.0,523.0,1230,0.425,78,35.7,20.1,10.0,2.1,0.8,2.6,.434,.111,.757,9.0,.155,onealje01,2004
4,Peja Stojaković,26,SAC,1.0,281.0,1230,0.228,81,40.3,24.2,6.3,2.1,1.3,0.2,.480,.433,.927,13.5,.198,stojape01,2004
5,Kobe Bryant,25,LAL,0.0,212.0,1230,0.172,65,37.6,24.0,5.5,5.1,1.7,0.4,.438,.327,.852,10.7,.210,bryanko01,2004
6,Shaquille O'Neal,31,LAL,0.0,178.0,1230,0.145,67,36.8,21.5,11.5,2.9,0.5,2.5,.584,,.490,9.9,.192,onealsh01,2004
7,Ben Wallace,29,DET,0.0,24.0,1230,0.020,81,37.7,9.5,12.4,1.7,1.8,3.0,.421,.125,.490,10.2,.160,wallabe01,2004
8,Jason Kidd,30,NJN,0.0,17.0,1230,0.014,67,36.6,15.5,6.4,9.2,1.8,0.2,.384,.321,.827,7.2,.141,kiddja01,2004
9,LeBron James,19,CLE,0.0,11.0,1230,0.009,79,39.5,20.9,5.5,5.9,1.6,0.7,.417,.290,.754,5.1,.078,jamesle01,2004
10T,Sam Cassell,34,MIN,0.0,4.0,1230,0.003,81,35.0,19.8,3.3,7.3,1.3,0.2,.488,.398,.873,12.1,.205,cassesa01,2004
10T,Baron Davis,24,NOH,0.0,4.0,1230,0.003,67,40.1,22.9,4.3,7.5,2.4,0.4,.395,.321,.673,7.5,.133,davisba01,2004
10T,Dirk Nowitzki,25,DAL,0.0,4.0,1230,0.003,77,37.9,21.8,8.7,2.7,1.2,1.4,.462,.341,.877,11.5,.190,nowitdi01,2004
13,Andrei Kirilenko,22,UTA,0.0,2.0,1230,0.002,78,37.1,16.5,8.1,3.1,1.9,2.8,.443,.338,.790,11.6,.192,kirilan01,2004
14T,Carmelo Anthony,19,DEN,0.0,1.0,1230,0.001,82,36.5,21.0,6.1,2.8,1.2,0.5,.426,.322,.777,6.1,.098,anthoca01,2004
14T,Yao Ming,23,HOU,0.0,1.0,1230,0.001,82,32.8,17.5,9.0,1.5,0.3,1.9,.522,.000,.809,11.4,.202,mingya01,2004
14T,Michael Redd,24,MIL,0.0,1.0,1230,0.001,82,36.8,21.7,5.0,2.3,1.0,0.1,.440,.350,.868,9.7,.154,reddmi01,2004
1,Steve Nash,30,PHO,65.0,1066.0,1270,0.839,75,34.3,15.5,3.3,11.5,1.0,0.1,.502,.431,.887,10.9,.203,nashst01,2005
2,Shaquille O'Neal,32,MIA,58.0,1032.0,1270,0.813,73,34.1,22.9,10.4,2.7,0.5,2.3,.601,,.461,11.0,.211,onealsh01,2005
3,Dirk Nowitzki,26,DAL,0.0,349.0,1270,0.275,78,38.7,26.1,9.7,3.1,1.2,1.5,.459,.399,.869,15.6,.248,nowitdi01,2005
4,Tim Duncan,28,SAS,1.0,328.0,1270,0.258,66,33.4,20.3,11.1,2.7,0.7,2.6,.496,.333,.670,11.2,.245,duncati01,2005
5,Allen Iverson,29,PHI,2.0,240.0,1270,0.189,75,42.3,30.7,4.0,7.9,2.4,0.1,.424,.308,.835,9.0,.136,iversal01,2005
6,LeBron James,20,CLE,0.0,93.0,1270,0.073,80,42.4,27.2,7.4,7.2,2.2,0.7,.472,.351,.750,14.3,.203,jamesle01,2005
7,Tracy McGrady,25,HOU,0.0,44.0,1270,0.035,78,40.8,25.7,6.2,5.7,1.7,0.7,.431,.326,.774,12.0,.180,mcgratr01,2005
8,Dwyane Wade,23,MIA,0.0,43.0,1270,0.034,77,38.6,24.1,5.2,6.8,1.6,1.1,.478,.289,.762,11.0,.177,wadedw01,2005
9T,Amar'e Stoudemire,22,PHO,1.0,41.0,1270,0.032,80,36.1,26.0,8.9,1.6,1.0,1.6,.559,.188,.733,14.6,.243,stoudam01,2005
9T,Ray Allen,29,SEA,0.0,41.0,1270,0.032,78,39.3,23.9,4.4,3.7,1.1,0.1,.428,.376,.883,10.7,.168,allenra02,2005
11,Kevin Garnett,28,MIN,0.0,15.0,1270,0.012,82,38.1,22.2,13.5,5.7,1.5,1.4,.502,.240,.811,16.1,.248,garneke01,2005
12,Gilbert Arenas,23,WAS,0.0,4.0,1270,0.003,80,40.9,25.5,4.7,5.1,1.7,0.3,.431,.365,.814,11.5,.169,arenagi01,2005
13,Vince Carter,28,TOT,0.0,3.0,1270,0.002,77,36.7,24.5,5.2,4.2,1.4,0.6,.452,.406,.798,9.4,.159,cartevi01,2005
14T,P.J. Brown,35,NOH,0.0,1.0,1270,0.001,82,34.4,10.8,9.0,2.2,0.9,0.6,.446,,.864,6.9,.118,brownpj01,2005
14T,Marcus Camby,30,DEN,0.0,1.0,1270,0.001,66,30.5,10.3,10.0,2.3,0.9,3.0,.465,.000,.723,5.8,.138,cambyma01,2005
14T,Shawn Marion,26,PHO,0.0,1.0,1270,0.001,81,38.8,19.4,11.3,1.9,2.0,1.5,.476,.334,.833,12.5,.191,mariosh01,2005
1,Steve Nash,31,PHO,57.0,924.0,1250,0.739,79,35.4,18.8,4.2,10.5,0.8,0.2,.512,.439,.921,12.4,.212,nashst01,2006
2,LeBron James,21,CLE,16.0,688.0,1250,0.550,79,42.5,31.4,7.0,6.6,1.6,0.8,.480,.335,.738,16.3,.232,jamesle01,2006
